Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Hyundaii10,12,0,1100,0,0,6,18000,1275000
Hyundaisantro,14,0,1100,0,0,5,52000,850000
Hyundaii10,7,1,1200,0,0,14,22000,2100000
Hyundaiasta,11,0,1200,0,0,8,46000,1790000
Hyundaisantro,21,0,1100,0,0,3,51000,590000
Hyundaitucson,13,0,2000,1,1,6,56581,3100000
Hyundaigetz,15,0,1400,0,0,5,49723,1100000
Hyundaisantro,13,0,1100,0,0,6,34000,1175000
Hyundaiasta,11,0,1200,0,0,8,38000,1750000
Hyundaii20,11,0,1200,0,0,7,42000,1575000
Hyundaigetz,12,0,1400,0,0,9,46000,1375000
Hyundaiasta,12,0,1200,0,0,7,27000,1700000
Hyundaisantro,12,0,1100,0,0,7,40000,1225000
Hyundaiasta,12,0,1200,0,0,7,32000,1525000
Hyundaisantro,18,0,1100,0,0,4,26000,775000
Hyundaisantro,13,0,1100,0,0,6,40000,1100000
Hyundaisantro,16,0,1100,0,0,5,50000,950000
Hyundaiasta,12,0,1200,0,0,7,32000,1775000
Hyundaitucson,12,0,2000,1,1,8,45000,3349000
Hyundaigetz,12,0,1400,0,0,7,30000,1275000
Hyundaisantro,15,0,1100,0,0,5,50000,1000000
Hyundaii10,8,0,1200,0,0,10,21000,1775000
Hyundaitucson,15,0,2000,1,1,5,56000,2600000
Hyundaii10,10,0,1100,0,0,9,26000,1575000
Hyundaiasta,11,0,1200,0,0,7,25500,1795000
Hyundaii10,9,0,1200,0,0,10,28000,1775000
Hyundaieon,9,0,800,0,0,9,29000,1090000
Hyundaii10,12,0,1200,0,0,7,43000,1540000
Hyundaii10,9,0,1200,0,0,2,33000,1665000
Hyundaiaccent,13,0,1400,0,0,6,40000,1425000
Hyundaisantro,14,0,1000,0,0,6,40000,900000
Hyundaisantro,14,0,1100,0,0,6,40000,1150000
Hyundaiasta,12,1,1400,0,0,7,40000,1850000
Hyundaii10,12,0,1200,0,0,7,43000,1850000
Hyundaii10,11,0,1200,0,0,9,26000,1600000
Hyundaii10,11,0,1200,0,0,9,31000,1525000
Hyundaiasta,7,0,1200,0,0,11,16000,2450000
Hyundaisantro,21,0,1000,0,0,3,60000,550000
Hyundaii10,10,0,1100,0,0,9,23000,1550000
Hyundaiasta,7,0,1200,0,0,11,14000,2375000
Hyundaii20,11,0,1200,0,0,8,37000,1725000
Hyundaii20,12,0,1200,0,0,7,26000,1500000
Hyundaii10,10,0,1100,0,0,9,30000,1575000
Hyundaiasta,11,0,1200,0,0,8,30000,1775000
Hyundaii10,7,0,1200,0,0,12,14000,1875000
Hyundaisantro,14,0,1100,0,0,6,40000,1150000
Hyundaii10,7,0,1200,0,0,12,15000,2200000
Hyundaisantro,15,0,1100,0,0,5,60000,1200000
Hyundaii20,11,0,1200,0,0,8,32000,1500000
Hyundaii10,11,0,1200,0,0,7,30000,1575000
Hyundaii10,11,0,1200,0,0,8,30000,1575000
Hyundaiasta,7,0,1200,0,0,12,25000,2400000
Hyundaisantro,18,0,1100,0,0,4,50000,725000
Hyundaiaccent,17,0,1300,0,0,5,53000,850000
Hyundaii10,8,0,1200,0,0,10,43000,1860000
Hyundaii10,12,0,1100,0,0,7,50000,1300000
Hyundaii10,11,0,1200,0,0,9,37000,1575000
Hyundaisantro,13,0,1100,0,0,7,50000,1225000
Hyundaii10,12,0,1100,0,0,7,50000,1325000
Hyundaii10,10,0,1200,0,0,9,29000,1650000
Hyundaisantro,14,0,1000,0,0,7,52000,900000
Hyundaii10,8,0,1100,0,0,10,25000,1600000
Hyundaii10,11,0,1200,0,0,9,30000,1575000
Hyundaieon,9,0,800,0,0,10,64400,1350000
Hyundaielantra,7,0,1600,0,0,12,13000,3100000
Hyundaii10,13,0,1200,0,0,6,40000,1325000
Hyundaisantro,15,0,1100,0,0,6,50000,1075000
Hyundaii10,12,0,1200,0,0,7,35000,1445000
Hyundaisantro,11,0,1100,0,0,8,32000,1325000
Hyundaii10,12,0,1200,0,0,7,38000,1400000
Hyundaiasta,11,0,1200,0,0,8,30000,1800000
Hyundaisantro,11,0,1100,0,0,8,37000,1310000
Hyundaisantro,14,0,1100,0,0,6,53000,1175000
Hyundaiaccent,12,0,1400,0,0,7,34000,1650000
Hyundaii10,9,0,1100,0,0,10,35000,1600000
Hyundaiaccent,13,0,1400,0,0,6,35000,1425000
Hyundaii10,12,0,1100,0,0,7,40000,1275000
Hyundaii10,12,0,1200,0,0,7,37000,1400000
Hyundaisantro,10,0,1100,0,0,9,22500,1345000
Hyundaiaccent,13,0,1400,0,0,6,42000,1550000
Hyundaisantro,15,0,1100,0,0,5,55000,1050000
Hyundaitucson,10,1,2000,1,1,9,53000,5800000
Hyundaii20,5,0,1200,0,0,15,400,3350000
Hyundaisantro,14,0,1100,0,0,6,45000,1150000
Hyundaisantro,10,0,1100,0,0,9,35000,2011
Hyundaigetz,14,0,1400,0,0,5,63000,1000000
Hyundaiasta,11,0,1200,0,0,9,4500,2000000
Hyundaii10,11,0,1200,0,0,8,42000,1525000
Hyundaisantro,15,0,1000,0,0,2,40000,1025000
Hyundaii10,7,0,1200,0,0,12,5500,2125000
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
Hyundaii10,12,0,1200,0,0,7,40000,1350000
Hyundaii20,11,0,1200,0,0,8,28000,1625000
Hyundaisantro,8,0,1100,0,0,10,25000,1500000
Hyundaii10,8,0,1200,0,0,10,26000,1775000
Hyundaisantro,8,0,1100,0,0,10,25000,1550000
Hyundaisantro,8,0,1100,0,0,10,25000,1550000
Hyundaisantro,17,0,1100,0,0,5,60000,800000
Hyundaielantra,8,0,1600,0,0,10,21000,3100000
Hyundaii10,13,0,1100,0,0,6,20000,1324999
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
Hyundaisantro,12,0,1100,0,0,7,50000,1225000
Hyundaii10,8,0,1200,0,0,11,16000,1875000
Hyundaitucson,14,0,2000,0,0,6,1991,2725000
Hyundaitucson,11,0,2000,0,1,8,33000,4800000
Hyundaisantro,14,0,1100,0,0,6,4000,1170000
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
Hyundaisantro,8,1,1100,0,0,10,1500,1400000
Hyundaisantro,13,0,1100,0,0,6,35000,1175000
Hyundaisantro,16,0,1100,0,0,8,65000,850000
Hyundaii20,12,0,1200,0,0,7,40000,1575000
Hyundaitucson,10,0,2000,1,1,9,23000,5050000
Hyundaii10,10,0,1200,0,0,9,29000,1675000
Hyundaii10,11,0,1200,0,0,9,49000,1525000
Hyundaii10,13,0,1200,0,0,8,35000,1545000
Hyundaii10,9,0,1100,0,0,9,23000,1675000
Hyundaiasta,12,0,1200,0,0,7,35000,1700000
Hyundaielantra,7,0,1600,0,0,11,16000,3199999
Hyundaisantro,15,0,1100,0,0,5,40000,1050000
Hyundaisantro,14,0,1100,0,0,7,50000,1150000
Hyundaitucson,14,0,2000,0,0,6,46000,2850000
Hyundaigetz,12,0,1400,0,0,7,40000,1225000
Hyundaii10,9,0,1100,0,0,9,23000,1675000
Hyundaii10,12,0,1200,0,0,7,40000,1435000
Hyundaigetz,15,1,1400,0,0,5,59000,1355000
Hyundaitucson,12,0,2000,1,1,7,40000,3300000
Hyundaii20,11,0,1200,0,0,8,30000,1625000
Hyundaii10,12,0,1200,0,0,7,38000,1360000
Hyundaisantro,13,0,1100,0,0,6,57000,1150000
Hyundaii10,7,0,1200,0,0,12,10900,2455000
Hyundaii10,8,0,1200,0,0,11,18000,1975000
Hyundaii10,12,0,1100,0,0,9,19200,155000
Hyundaisantro,13,0,1100,0,0,6,45000,1175000
Hyundaii10,13,0,1200,0,0,7,42000,1325000
Hyundaisantro,19,0,1100,0,0,4,70000,650000
Hyundaii10,8,0,1200,0,0,10,18000,1850000
Hyundaiasta,12,0,1200,0,0,7,20000,1725000
Hyundaiasta,12,0,1200,0,0,7,27000,1725000
Hyundaii10,12,0,1100,0,0,9,19200,1550000
Hyundaiasta,11,0,1200,0,0,8,41000,1850000
Hyundaigetz,17,0,1400,0,0,5,49000,1025000
Hyundaii20,12,1,1200,0,0,7,30000,1550000
Hyundaitucson,8,0,2000,1,1,11,39000,6000000
Hyundaitucson,12,0,2000,0,1,7,43000,3300000
Hyundaii10,13,0,1200,0,0,6,39000,1325000
Hyundaitucson,15,0,2000,0,0,5,54000,2650000
Hyundaii10,7,0,1200,0,0,11,30400,2000000
Hyundaisantro,11,0,1100,0,0,8,30000,1300000
Hyundaii20,11,0,1200,0,0,8,29000,1650000
Hyundaitucson,14,0,2000,1,1,6,68600,2650000
Hyundaii10,7,0,1200,0,0,12,6000,2300000
Hyundaiasta,7,0,1200,0,0,12,22000,2450000
Hyundaii20,11,0,1200,0,0,7,35500,1650000
Hyundaii10,7,0,1200,0,0,11,30450,2000000
Hyundaisantro,15,0,1100,0,0,5,40000,1100000
Hyundaisantro,10,0,1100,0,0,9,30000,1350000
Hyundaii10,12,0,1200,0,0,7,41000,1450000
Hyundaii10,7,0,1200,0,0,11,30000,2076000
Hyundaitucson,10,0,2000,1,1,9,34000,5200000
Hyundaii10,12,1,1200,0,0,7,46000,1575000
Hyundaitucson,9,0,2000,0,0,10,45000,5575000
Hyundaii10,11,0,1200,0,0,7,30000,1475000
Hyundaii10,12,0,1100,0,0,7,29000,1250000
Hyundaii10,12,0,1100,0,0,7,22000,1250000
Hyundaitucson,12,0,2000,1,1,8,35000,3500000
Hyundaii10,13,0,1200,0,0,6,36000,1350000
Hyundaii10,11,1,1200,0,0,8,35000,1725000
Hyundaii10,12,0,1200,0,0,7,45000,1390000
Hyundaiasta,11,0,1200,0,0,8,30000,1850000
Hyundaitucson,11,0,2000,1,1,9,30000,5800000
Hyundaiaccent,26,0,1300,0,0,3,62000,250000
Hyundaisantro,18,0,1000,0,0,12,40000,700000
Hyundaii10,7,0,1200,0,0,11,15000,2475000
Hyundaigetz,16,0,1400,0,0,5,47000,1100000
Hyundaisantro,14,0,1100,0,0,6,44000,1175000
Hyundaisantro,14,0,1100,0,0,6,50000,1175000
Hyundaiasta,7,0,1200,0,0,11,13000,2450000
Hyundaisantro,21,0,1000,0,0,3,58564,520000
Hyundaisantro,12,0,1100,0,0,7,29000,1250000
Hyundaiasta,7,0,1200,0,0,11,22000,2450000
Hyundaieon,8,0,800,0,0,11,30000,1300000
Hyundaiaccent,12,0,1400,0,0,6,39000,1499999
Hyundaieon,8,0,800,0,0,10,14000,1400000
Hyundaiasta,11,0,1200,0,0,7,17000,1850000
Hyundaisantro,12,0,1100,0,0,7,26000,1250000
Hyundaisantro,11,0,1100,0,0,8,28000,1300000
Hyundaii10,8,0,1200,0,0,11,18000,1775000
Hyundaisantro,18,0,1200,0,0,4,70000,825000
Hyundaitucson,13,0,2000,1,1,6,51000,3200000
Hyundaii10,10,0,1200,0,0,9,23000,1675000
Hyundaisantro,18,0,1100,0,0,4,51000,725000
Hyundaii10,12,0,1200,0,0,7,37000,1400000
Hyundaisantro,12,0,1100,0,0,11,42000,1175000
Hyundaiasta,12,0,1200,0,0,7,40000,1750000
Hyundaisantro,21,0,1000,0,0,3,60000,600000
Hyundaii20,17,0,1500,0,1,5,74000,780000
Hyundaiasta,7,0,1200,0,0,11,14000,2450000
Hyundaisantro,12,0,1100,0,0,7,38000,1150000
Hyundaisantro,12,0,1100,0,0,7,41000,1150000
Hyundaii10,11,0,1200,0,0,9,34000,1525000
Hyundaii10,7,0,1200,0,0,12,5000,2000000
Hyundaii10,12,0,1200,0,0,7,27900,1425000
Hyundaisantro,11,0,1100,0,0,7,26000,1225000
Hyundaii10,11,0,1200,0,0,8,30000,1575000
Hyundaiaccent,12,0,1400,0,0,7,46000,1625000
Hyundaisantro,14,0,1200,0,0,5,38000,1050000
Hyundaisantro,16,0,1100,0,0,6,54000,1000000
Hyundaisantro,21,0,1000,0,0,3,72000,525000
Hyundaisantro,12,0,1100,0,0,8,40000,1250000
Hyundaiasta,12,0,1200,0,0,7,26000,1725000
Hyundaisantro,12,0,1100,0,0,7,22000,1250000
Hyundaisantro,14,0,1100,0,0,6,41000,1175000
Hyundaitucson,12,0,2000,1,1,8,55000,3300000
Hyundaieon,8,0,800,0,0,10,20000,1250000
Hyundaisantro,10,0,1100,0,0,9,26000,1350000
Hyundaii10,11,0,1200,0,0,8,45000,1550000
Hyundaii10,12,0,1200,0,0,7,36000,1525000
Hyundaiasta,12,0,1200,0,0,7,40000,1750000
Hyundaisantro,14,0,1100,0,0,6,29000,1175000
Hyundaisantro,16,0,1100,0,0,5,51000,1025000
Hyundaisantro,13,0,1100,0,0,6,35000,1150000
Hyundaii10,10,0,1200,0,0,9,30000,1680000
Hyundaii10,12,0,1200,0,0,7,36000,1450000
Hyundaii10,11,0,1200,0,0,8,31200,1475000
Hyundaiasta,12,0,1200,0,0,7,40000,1750000
Hyundaitucson,19,1,2000,1,1,9,41300,2450000
Hyundaisantro,13,0,1100,0,0,6,45000,1175000
Hyundaii10,6,0,1200,0,0,13,11000,2150000
Hyundaitucson,12,0,2000,1,1,7,46700,3500000
Hyundaisantro,11,0,1100,0,0,8,32000,1250000
Hyundaii10,12,0,1200,0,0,7,33000,1400000
Hyundaigetz,12,0,1400,0,0,7,45000,1250000
Hyundaisantro,15,0,1100,0,0,5,48000,1090000
Hyundaiasta,11,0,1200,0,0,9,30000,1850000
Hyundaiaccent,12,0,1400,0,0,7,42000,1625000
Hyundaitucson,15,0,2000,1,1,5,54000,2600000
Hyundaisantro,12,0,1100,0,0,7,33000,1200000
Hyundaiasta,12,0,1200,0,0,7,40000,1750000
Hyundaisantro,11,0,1100,0,0,8,30000,1300000
Hyundaiasta,7,0,1200,0,0,11,18000,2450000
Hyundaieon,9,0,800,0,0,9,29000,1225000
Hyundaisantro,16,0,1100,0,0,5,40000,1025000
Hyundaisantro,14,0,1100,0,0,5,36000,1150000
Hyundaii10,12,0,1200,0,0,7,50000,1550000
Hyundaii10,12,0,1200,0,0,7,37000,1425000
Hyundaigetz,14,0,1300,0,0,13,39000,1150000
Hyundaisantro,20,0,1000,0,0,1,76000,510000
Hyundaisantro,11,0,1100,0,0,8,41000,1225000
Hyundaiaccent,15,0,1400,0,0,5,35000,1550000
Hyundaii10,12,0,1200,0,0,7,50000,1600000
Hyundaiaccent,15,0,1400,0,0,5,45000,1300000
Hyundaitucson,13,0,2000,1,1,6,49000,3150000
Hyundaii10,11,0,1200,0,0,8,22000,1520000
Hyundaiaccent,12,0,1400,0,0,7,39000,1575000
Hyundaiasta,12,0,1200,0,0,7,37000,1705000
Hyundaii20,11,0,1200,0,0,9,45000,1850000
Hyundaisantro,15,0,1100,0,0,5,50000,1100000
Hyundaigetz,12,0,1400,0,0,7,55000,1475000
Hyundaiasta,11,0,1300,0,0,8,34000,1750000
Hyundaii10,12,0,1200,0,0,7,35000,1400000
Hyundaiasta,11,0,1200,0,0,8,36000,1824000
Hyundaii10,11,0,1200,0,0,8,23000,1575000
Hyundaisantro,15,0,1100,0,0,5,36000,1075000
Hyundaii10,9,0,1200,0,0,10,18000,1750000
Hyundaitucson,14,0,2000,1,1,6,59000,2850000
Hyundaisantro,13,0,1100,0,0,6,55000,1175000
Hyundaieon,9,0,800,0,0,9,32000,1275000
Hyundaii10,12,0,1200,0,0,7,25000,1380000
Hyundaisantro,10,0,1100,0,0,9,27000,1350000
Hyundaii10,11,0,1200,0,0,8,25100,1590000
Hyundaieon,9,0,800,0,0,10,11700,1450000
Hyundaisantro,11,0,1100,0,0,8,31000,1225000
Hyundaii10,12,0,1200,0,0,6,40000,1360000
Hyundaii10,12,0,1100,0,0,7,35000,1275000
Hyundaisantro,20,0,1100,0,0,3,45000,675000
Hyundaisantro,16,0,1100,0,0,5,55000,1050000
Hyundaii10,9,0,1200,0,0,9,30000,1725000
Hyundaisantro,18,0,1100,0,0,3,50000,675000
Hyundaisantro,14,0,1100,0,0,5,40000,1200000
Hyundaisantro,17,0,1100,0,0,5,43000,950000
Hyundaii10,12,0,1100,0,0,7,32000,1350000
Hyundaiasta,11,0,1200,0,0,8,25000,1825000
Hyundaii10,12,0,1200,0,0,7,37000,1400000
Hyundaii10,13,0,1100,0,0,6,40000,1275000
Hyundaiasta,12,0,1200,0,0,7,32000,1750000
Hyundaisantro,21,0,1000,0,0,3,59675,550000
Hyundaisantro,21,0,1000,0,0,3,60000,600000
Hyundaii20,11,0,1200,0,0,9,33000,1775000
Hyundaii10,12,0,1200,0,0,7,35000,1400000
Hyundaii10,10,0,1200,0,0,9,32000,1725000
Hyundaisantro,11,0,1100,0,0,8,7100,1350000
Hyundaisantro,12,0,1100,0,0,7,37000,1200000
Hyundaii20,10,0,1200,0,0,9,6500,2200000
Hyundaii10,12,0,1200,0,0,7,40000,1400000
Hyundaisantro,13,0,1100,0,0,6,40000,1200000
Hyundaisantro,19,0,1100,0,0,4,58000,725000
Hyundaii10,12,0,1200,0,0,7,32000,1400000
Hyundaii10,13,0,1200,0,0,6,37000,1325000
Hyundaisantro,15,0,1100,0,0,5,50000,1100000
Hyundaii10,11,0,1200,0,0,8,30000,1525000
Hyundaii10,11,0,1200,0,0,7,28000,1590000
Hyundaiasta,7,0,1200,0,0,12,14000,2550000
Hyundaisantro,7,0,1100,0,0,12,3000,1700000
Hyundaii20,11,0,1200,0,0,8,31442,1900000
Hyundaisantro,11,0,1100,0,0,8,47000,1325000
Hyundaii10,10,0,1200,0,0,9,9000,1750000
Hyundaii10,9,0,1200,0,0,10,27000,1725000
Hyundaii10,12,0,1200,0,0,7,30000,1425000
Hyundaisantro,16,0,1100,0,0,5,44000,1050000
Hyundaiasta,7,0,1200,0,0,10,9000,2450000
Hyundaii10,9,0,1200,0,0,9,24000,1800000
Hyundaii10,12,0,1200,0,0,7,48000,1400000
Hyundaisantro,12,0,1100,0,0,7,37000,1225000
Hyundaisantro,19,0,1000,0,0,4,58000,750000
Hyundaitucson,12,0,2000,1,1,8,27000,3700000
Hyundaii10,10,0,1200,0,0,9,26000,1750000
Hyundaiasta,7,0,1200,0,0,12,120000,2425000
Hyundaisantro,12,0,1100,0,0,7,36000,1200000
Hyundaitucson,17,0,2000,1,0,5,41000,2400000
Hyundaii10,11,0,1200,0,0,8,32000,1575000
Hyundaiaccent,21,0,1500,0,0,3,56000,650000
Hyundaii10,13,0,1200,0,0,6,44000,1333333
Hyundaieon,8,0,800,0,0,11,50000,1450000
Hyundaiasta,7,0,1200,0,0,12,8000,2154993
Hyundaiaccent,20,0,1800,0,0,3,42000,700000
Hyundaiasta,11,0,1200,0,0,8,38000,1825000
Hyundaitucson,12,0,2000,0,1,7,49000,3400000
Hyundaii20,15,0,1500,0,0,7,50000,900000
Hyundaiasta,11,0,1300,0,0,8,38000,1800000
Hyundaieon,9,0,800,0,0,10,23000,1325000
Hyundaiasta,7,0,1200,0,0,12,80000,2150000
Hyundaii10,13,0,1200,0,0,6,39000,1350000
Hyundaii10,11,0,1200,0,0,13,34000,1550000
Hyundaisantro,13,0,1000,0,0,6,37000,850000
Hyundaii10,13,0,1200,0,0,6,39000,1350000
Hyundaiasta,12,0,1400,0,1,7,46000,1825000
Hyundaii10,12,0,1200,0,0,7,36000,1400000
Hyundaigetz,12,0,1400,0,0,7,35600,1400000
Hyundaitucson,10,0,2000,0,1,11,90000,1000000
Hyundaii10,12,0,1200,0,0,9,26000,1650000
Hyundaii10,12,0,1100,0,0,7,35000,1350000
Hyundaii10,12,0,1100,0,0,7,28000,1350000
Hyundaieon,9,0,800,0,0,9,22000,1190000
Hyundaii10,11,0,1200,0,0,8,33000,1500000
Hyundaieon,9,0,800,0,0,10,23000,1325000
Hyundaiaccent,14,0,1200,0,0,6,45000,1500000
Hyundaii10,8,0,1200,0,0,11,17000,1750000
Hyundaii10,11,0,1100,0,0,9,27950,1525000
Hyundaiasta,12,0,1200,0,0,7,34000,1775000
Hyundaii10,11,0,1200,0,0,9,40000,1550000
Hyundaitucson,13,0,2000,1,1,6,64272,3175000
Hyundaisonata,11,0,2000,0,0,8,9000,4000000
Hyundaiasta,7,0,1200,0,0,12,11000,2550000
Hyundaii10,13,0,1200,0,0,8,27000,1700000
Hyundaisantro,15,0,1100,0,0,6,59000,1075000
Hyundaii10,10,0,1100,0,0,9,38000,1675000
Hyundaii10,11,0,1200,0,0,12,48000,1300000
Hyundaisantro,14,0,1100,0,0,5,50000,1200000
Hyundaisantro,17,0,1100,0,0,4,34000,845000
Hyundaii10,12,0,1200,0,0,9,28000,1425000
Hyundaitucson,15,0,2000,1,1,13,45890,2900000
Hyundaii10,12,0,1200,0,0,8,31000,1500000
Hyundaii10,11,0,1200,0,0,8,33000,1500000
Hyundaiasta,11,0,1200,0,0,10,23000,1850000
Hyundaii10,11,0,1200,0,0,8,32000,1575000
Hyundaii10,12,1,1200,0,0,7,21000,1450000
Hyundaisantro,18,0,1100,0,0,5,66000,850000
Hyundaisantro,18,0,1100,0,0,5,60000,785000
Hyundaii10,12,1,1100,0,0,7,45000,1175000
Hyundaitucson,12,0,2000,0,1,9,50000,3500000
Hyundaisantro,20,0,1100,0,0,3,70000,700000
Hyundaisantro,18,0,1100,0,0,5,52000,825000
Hyundaii10,10,1,1200,0,0,9,30000,1750000
Hyundaii10,12,0,1200,0,0,7,28000,1450000
Hyundaitucson,12,0,2000,1,1,1,49000,3700000
Hyundaitucson,12,0,2000,1,1,12,36195,3250000
Hyundaisantro,21,0,1000,0,0,3,50000,675000
Hyundaii20,17,0,1500,0,1,5,81000,800000
Hyundaisantro,12,0,1100,0,0,7,350000,1375000
Hyundaii10,13,0,1200,0,0,6,35000,1225000
Hyundaisantro,20,0,1100,0,0,3,57000,750000
Hyundaisantro,14,0,1000,0,0,6,50000,925000
Hyundaii10,12,0,1200,0,0,9,42000,1315000
Hyundaitucson,15,0,2000,1,1,5,32000,2700000
Hyundaieon,7,0,800,0,0,13,16000,1765000
Hyundaisantro,18,0,1100,0,0,4,85000,700000
Hyundaiasta,11,0,1200,0,0,8,32000,1825000
Hyundaisantro,14,0,1200,0,0,6,40000,1150000
Hyundaisantro,16,0,1100,0,0,9,43000,1050000
Hyundaisantro,16,0,1200,0,0,5,52000,925000
Hyundaisantro,12,0,1200,0,0,7,34000,1250000
