Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Mahindrabolero,11,0,2600,1,1,8,42000,1600000
Mahindrabolero,10,0,2600,0,1,12,42000,1275000
Mahindrascorpio,9,0,2600,0,1,11,23000,2900000
Mahindrascorpio,14,0,2500,0,1,6,47570,3000000
Mahindrabolero,12,0,2600,1,1,7,50000,1300000
Mahindrabolero,8,0,2600,1,1,13,6500,1750000
Mahindrascorpio,7,0,2000,1,1,12,10000,4500000
Mahindrabolero,16,0,2000,1,1,12,52000,1225000
Mahindrabolero,16,0,2600,1,1,5,52000,900000
Mahindrascorpio,12,0,2500,1,1,7,53000,2050000
Mahindrabolero,12,0,2500,0,1,7,36893,1925000
Mahindrascorpio,9,0,2500,1,1,10,21000,3950000
Mahindrascorpio,7,0,2600,1,1,11,48000,2800000
Mahindrascorpio,10,0,2600,1,1,9,38000,3600000
Mahindrascorpio,13,1,2450,1,1,8,150000,1700000
Mahindrabolero,16,0,2500,0,1,5,87000,1250000
Maruti Suzukiswift,3,0,1200,0,0,19,18000,2850000
Maruti Suzukialto-800,15,0,800,0,0,5,55000,575000
Maruti Suzukicelerio,5,0,1000,0,0,14,41000,1725000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,38000,1150000
Maruti Suzukialto-800,19,0,800,0,0,4,76342,400000
Maruti SuzukiOmni,11,0,800,0,0,8,88000,600000
Maruti Suzuki800,18,0,800,0,0,5,70000,300000
Maruti Suzukieeco,5,0,1200,0,0,16,35000,1500000
Maruti Suzukialto-800,16,0,800,0,0,5,65000,550000
Maruti Suzukialto-800,6,0,800,0,0,13,34000,675000
Maruti Suzuki800,7,0,800,0,0,12,37000,117500
Maruti SuzukiOmni,12,0,800,0,0,9,55000,710000
Maruti Suzukialto-800,16,0,800,0,0,5,55000,350000
Maruti Suzuki800,24,0,800,0,0,2,75000,250000
Maruti Suzukialto-800,21,0,800,0,0,3,150000,350000
Maruti Suzukialto-800,3,0,800,1,0,18,1500,975000
Maruti Suzukiswift,12,0,1300,0,0,14,58000,1400000
Maruti Suzukiswift,5,0,1200,0,0,16,29500,2479000
Maruti Suzukialto-800,9,0,800,0,0,10,45000,750000
Maruti Suzukialto-800,6,0,800,0,0,13,120000,960000
Maruti Suzuki800,25,0,800,1,0,3,48536,225000
Maruti Suzukiswift,5,0,1200,0,0,14,35000,2475000
Maruti Suzukiswift,7,0,1200,0,0,12,34000,1900000
Maruti Suzukialto-LXI,6,0,1000,0,0,14,45000,1050000
Maruti SuzukiOmni,12,0,800,0,0,7,52000,625000
Maruti Suzukialto-800,20,0,1061,0,0,4,60000,400000
Maruti Suzukiswift,7,0,1200,0,0,12,34000,1900000
Maruti Suzukicelerio,5,0,1000,0,0,15,15000,1750000
Maruti Suzukialto-800,13,0,800,0,0,1,56000,650000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,52000,1025000
Maruti Suzukiswift,13,0,1300,0,0,19,60000,1325000
Maruti SuzukiOmni,12,0,800,0,0,7,33000,625000
Maruti Suzukialto-800,7,0,800,0,0,12,23000,975000
Maruti Suzukiswift,16,0,1300,0,0,5,56000,1000000
Maruti SuzukiOmni,9,0,800,0,0,10,38000,525000
Maruti Suzukiswift,7,0,1200,0,0,14,34000,2049000
Maruti Suzukialto-800,9,0,800,0,0,2,35000,800000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,38600,1150000
Maruti Suzukialto-800,15,0,800,0,0,2,56000,700000
Maruti Suzukiswift,6,0,1200,0,0,12,25000,2450000
Maruti SuzukiOmni,3,0,800,0,0,19,3000,1479000
Maruti SuzukiOmni,3,0,800,0,0,19,3500,1099000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,52000,1025000
Maruti Suzukiswift,12,0,1300,0,0,19,48000,1300000
Maruti Suzukialto-800,8,0,800,0,0,10,45000,825000
Maruti Suzukieeco,3,0,1196,0,0,19,300,2199000
Maruti Suzukiswift,8,0,1200,0,0,10,8000,2250000
Maruti Suzukiswift,8,0,1200,0,0,11,18000,2300000
Maruti Suzukiastar,11,0,1000,0,0,8,39000,1130000
Maruti Suzukialto-800,14,0,800,0,0,5,60000,675000
Maruti Suzukiswift,11,0,1197,0,0,8,31000,1850000
Maruti Suzukialto-800,21,0,800,0,0,3,77000,424000
Maruti Suzukialto-800,21,0,800,0,0,2,77000,425000
Maruti Suzukiswift,7,0,1200,0,0,11,21000,2295000
Maruti Suzukiswift,7,0,1200,0,0,11,21000,2350000
Maruti Suzukialto-LXI,9,0,1000,0,0,9,26000,1325000
Maruti Suzukiswift,12,0,1300,0,0,16,39000,1399000
Maruti Suzukialto-800,11,0,800,0,0,8,40500,925000
Maruti Suzukiswift,9,0,1200,0,0,9,34000,1975000
Maruti Suzukiswift,9,0,1197,0,0,10,23000,2250000
Maruti Suzukiswift,7,0,1200,0,0,12,18000,2225000
Maruti Suzukiswift,11,0,1198,0,0,8,57500,1500000
Maruti Suzukialto-LXI,10,0,1000,0,0,15,37000,1160000
Maruti Suzukialto-800,17,0,800,0,0,12,8000,450000
Maruti Suzuki800,21,0,800,0,0,3,48000,325000
Maruti Suzukiswift,18,0,1300,0,0,6,46000,1225000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,20000,1300000
Maruti Suzukiswift,11,0,1200,0,0,8,35000,1875000
Maruti Suzukiswift,11,0,1200,0,0,9,38000,1775000
Maruti Suzukialto-800,11,0,800,0,0,8,20000,800000
Maruti Suzukialto-800,12,0,800,0,0,7,34000,800000
Maruti Suzukialto-800,14,0,800,0,0,7,37000,750000
Maruti Suzukialto-800,21,0,800,0,0,3,40000,460000
Maruti Suzukiswift,7,0,1200,0,0,11,18000,2450000
Maruti Suzukialto-800,11,0,800,0,0,8,41000,875000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,20000,1325000
Maruti Suzukialto-LXI,12,0,1000,0,0,7,13000,1000000
Maruti Suzukialto-800,20,0,800,0,0,3,70000,550000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,10000,1050000
Maruti Suzukiswift,7,0,1200,0,0,12,26000,2475000
Maruti Suzukiswift,7,0,1197,0,0,12,11000,2475000
Maruti Suzukiswift,16,0,1300,0,0,5,50000,1050000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,20000,1275000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,40000,1200000
Maruti Suzukialto-LXI,11,0,1000,0,0,8,25800,1025000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,18000,1250000
Maruti Suzukialto-800,8,0,800,0,0,13,21000,1150000
Maruti Suzukiswift,11,0,1200,0,0,8,42000,1750000
Maruti Suzukialto-LXI,13,0,1000,0,0,6,85000,1000000
Maruti Suzukialto-LXI,11,0,1000,0,0,8,26000,1125000
Maruti Suzukiswift,7,0,1200,0,0,11,12000,2450000
Maruti Suzukiswift,8,0,1200,0,0,10,27000,2175000
Maruti SuzukiOmni,10,0,800,0,0,9,20800,625000
Maruti Suzukialto-LXI,7,0,1000,0,0,12,22000,1575000
Maruti Suzukiswift,8,0,1200,0,0,11,17000,2300000
Maruti Suzukialto-800,22,0,800,0,0,3,50000,390000
Maruti Suzukialto-800,11,0,800,0,0,8,30000,975000
Maruti Suzukiswift,9,0,1198,0,0,9,20000,2250000
Maruti Suzukiswift,9,0,1198,0,0,9,35500,1875000
Maruti Suzukialto-800,14,0,800,0,0,5,51000,775000
Maruti Suzukialto-800,21,0,800,0,0,2,65000,465000
Maruti Suzukialto-LXI,7,0,1000,0,0,12,22000,1575000
Maruti Suzukiswift,8,0,1200,0,0,10,17000,2275000
Maruti Suzukiswift,12,0,1300,0,0,7,32000,1550000
Maruti Suzukialto,19,0,1100,0,0,4,52000,675000
Maruti Suzukialto-800,19,0,800,0,0,7,68990,650000
Maruti Suzukialto-800,16,0,800,0,0,5,68000,690000
Maruti Suzukiswift,9,0,1200,0,0,10,34000,2250000
Maruti Suzukiswift,12,0,1300,0,0,7,35000,1450000
Maruti Suzukiswift,14,0,1298,0,0,7,51500,1325000
Maruti SuzukiOmni,10,0,800,0,0,9,40000,600000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,35000,1225000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,15000,1375000
Maruti Suzukialto-LXI,11,0,1000,0,0,8,40000,1100000
Maruti Suzukialto-800,19,0,800,0,0,4,60000,575000
Maruti Suzukialto-800,20,0,800,0,0,5,50000,600000
Maruti Suzukialto-800,15,0,800,0,0,5,55000,725000
Maruti Suzukialto-LXI,8,0,1000,0,0,12,14000,1525000
Maruti Suzukialto-800,17,0,800,0,0,4,80000,600000
Maruti Suzukiswift,8,0,1200,0,0,11,18000,2400000
Maruti Suzuki800,7,0,800,0,0,12,20000,145000
Maruti Suzukialto-800,13,0,800,0,0,6,50000,825000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,40000,1000000
Maruti Suzukiswift,11,0,1200,0,0,8,35000,1650000
Maruti SuzukiOmni,7,0,800,0,0,1,25000,1275000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,33000,1150000
Maruti Suzukiswift,14,0,1300,0,0,6,37000,1200000
Maruti Suzukialto-800,14,0,800,0,0,7,40000,775000
Maruti Suzukialto-LXI,10,0,1000,0,0,13,20000,1250000
Maruti Suzukidzire,11,0,1200,0,0,10,49000,1500000
Maruti SuzukiOmni,11,0,800,0,0,8,22000,875000
Maruti Suzukialto-800,9,0,800,0,0,9,25000,915000
Maruti Suzukialto-800,12,0,800,0,0,7,27000,900000
Maruti Suzukialto-LXI,11,0,1000,0,0,7,35000,1250000
Maruti Suzukialto-LXI,10,0,1000,0,0,13,20000,1250000
Maruti Suzukidzire,12,0,1298,0,0,7,46500,1550000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,25000,1150000
Maruti Suzukiswift,7,0,1200,0,0,11,18000,2550000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,25000,1525000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,35000,1175000
Maruti Suzukiswift,6,0,1200,0,0,12,8000,2650000
Maruti Suzukiswift,7,0,1200,0,0,11,12000,2525000
Maruti Suzukiswift,8,0,1200,0,0,10,21000,2375000
Maruti Suzukialto-800,14,0,800,0,0,6,24000,800000
Maruti Suzukiswift,11,0,1198,0,0,8,32000,1650000
Maruti Suzukiswift,7,0,1197,0,0,12,13000,2490000
Maruti Suzukiswift,11,0,1200,0,0,9,34000,1790000
Maruti Suzukiswift,16,0,1300,0,0,5,50000,1150000
Maruti Suzukiswift,11,0,1198,0,0,8,32000,1650000
Maruti Suzukialto-800,15,0,800,0,0,13,48700,525000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,18000,1375000
Maruti Suzukiswift,8,0,1198,0,0,13,7000,2700000
Maruti Suzukiswift,14,1,1200,0,0,6,51000,1275000
Maruti Suzukiswift,13,0,1298,0,0,14,41000,1350000
Maruti Suzukiswift,8,0,1200,0,0,10,19000,2350000
Maruti Suzukialto-800,20,0,800,0,0,4,55900,555000
Maruti SuzukiOmni,9,0,800,0,0,10,22000,600000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,14500,1350000
Maruti Suzukieeco,8,0,1198,0,0,10,27000,1350000
Maruti Suzukiswift,11,0,1300,0,0,8,31000,1650000
Maruti Suzukiswift,7,0,1200,0,0,12,26000,2350000
Maruti Suzukialto-LXI,7,0,1000,0,0,12,6000,1450000
Maruti Suzukiswift,8,0,1200,0,0,11,18373,2175000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,14000,1375000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,21000,1025000
Maruti Suzukiastar,11,0,1000,0,0,9,40000,1350000
Maruti Suzukiswift,7,0,1200,0,0,11,23000,2575000
Maruti Suzukialto-800,12,0,800,0,0,7,30000,925000
Maruti Suzukialto,20,0,1100,0,0,3,30000,575000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,1800,1125000
Maruti Suzukialto,20,0,1100,0,0,3,60000,575000
Maruti Suzukialto-LXI,10,0,1000,0,0,8,31000,1225000
Maruti Suzukiswift,8,0,1198,0,0,10,28000,2200000
Maruti Suzukiswift,13,0,1300,0,0,6,33333,1400000
Maruti SuzukiOmni,11,0,800,0,0,8,32000,825000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,35000,1000000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,20000,1390000
Maruti Suzukiswift,6,0,1200,0,0,13,1200,2750000
Maruti Suzukialto-800,12,0,800,0,0,7,58000,825000
Maruti Suzukialto-800,13,0,800,0,0,5,69000,775000
Maruti Suzukiswift,11,0,1200,0,0,8,36000,1650000
Maruti Suzukialto-800,15,0,800,0,0,5,39000,725000
Maruti Suzukialto,20,0,1100,0,0,7,4000,675000
Maruti Suzukieeco,10,0,1198,0,0,9,38000,1250000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,22000,1275000
Maruti Suzukiswift,9,0,1200,0,0,10,18000,2300000
Maruti Suzukiswift,7,0,1300,0,0,12,3800,2600000
Maruti Suzukiswift,12,0,1298,0,0,7,34000,1550000
Maruti Suzukiswift,13,0,1298,0,0,5,35000,1475000
Maruti Suzukiswift,12,0,1298,0,0,11,46000,1550000
Maruti Suzukiswift,12,0,1300,0,0,7,45000,1525000
Maruti Suzukialto-LXI,11,0,1000,0,0,8,40000,1000000
Maruti Suzukiastar,11,0,1000,0,0,8,46000,1300000
Maruti Suzukiswift,12,0,1300,0,0,7,32000,1475000
Maruti Suzukieeco,15,0,1300,0,0,5,55000,900000
Maruti Suzukiastar,12,0,1000,0,0,8,40000,1175000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,15500,1375000
Maruti Suzukieeco,10,0,1196,0,0,8,28000,1250000
Maruti Suzukiswift,13,0,1300,0,0,6,40000,1425000
Maruti Suzukiastar,12,0,1000,0,0,8,56000,1175000
Maruti Suzukiswift,7,0,1200,0,0,11,12880,2575000
Maruti Suzukialto-800,13,0,800,0,0,6,68700,850000
Maruti Suzukiswift,12,0,1300,0,0,7,45000,1199999
Maruti Suzukieeco,11,0,1298,0,0,8,34000,1200000
Maruti SuzukiOmni,11,0,800,0,0,8,40000,500000
Maruti Suzukiswift,15,0,1300,0,0,5,33000,1200000
Maruti Suzukialto-LXI,9,0,1000,0,0,9,20000,1300000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,17000,1350000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,20000,1095000
Maruti Suzukialto-800,26,0,800,0,0,2,63000,425000
Maruti Suzukialto-800,12,0,800,0,0,7,35000,825000
Maruti Suzukialto-800,17,0,800,0,0,4,34000,525000
Maruti Suzukiswift,8,0,1200,0,0,11,30000,2000000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,17000,1385000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,21000,1200000
Maruti Suzukiswift,8,0,1200,0,0,13,18000,2425000
Maruti Suzukiswift,8,0,1197,0,0,11,17000,2350000
Maruti Suzukiswift,9,0,1200,0,0,9,20000,2250000
Maruti Suzukialto-800,10,0,800,0,0,10,40000,975000
Maruti Suzukiswift,7,0,1200,0,0,12,5500,2650000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,12000,1025000
Maruti Suzukiswift,12,0,1198,0,0,13,41000,1600000
Maruti Suzukiswift,12,0,1298,0,0,7,39000,1400000
Maruti Suzukiswift,13,0,1300,0,0,6,45000,1450000
Maruti Suzukiswift,12,0,1300,0,0,7,40000,1500000
Maruti Suzukialto-800,10,0,800,0,0,9,17000,1150000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,23000,1225000
Maruti Suzukidzire,12,0,1300,0,0,7,40000,1575000
Maruti Suzukialto-800,12,0,800,0,0,7,35000,950000
Maruti Suzukiastar,12,0,1000,0,0,7,40000,1210000
Maruti Suzukialto-LXI,9,0,1000,0,0,9,23000,1450000
Maruti Suzuki800,23,0,880,0,0,3,26000,200000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,32000,1050000
Maruti Suzukialto-LXI,10,0,1000,0,0,13,25000,1225000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,23000,1375000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,13000,1425000
Maruti Suzukiswift,9,0,1197,0,0,10,15000,2000000
Maruti Suzukiswift,12,0,1298,0,0,13,37000,1425000
Maruti SuzukiOmni,11,0,800,0,0,8,73000,950000
Maruti Suzukiswift,13,0,1298,0,0,6,42000,1350000
Maruti Suzukiswift,12,0,1298,0,0,7,33300,1600000
Maruti Suzukiswift,16,0,1298,0,0,8,140000,1000000
Maruti Suzukialto,19,0,1100,0,0,3,65000,650000
Maruti Suzukiswift,12,0,1298,0,0,13,38000,1600000
Maruti Suzukialto-800,15,0,800,0,0,5,51000,750000
Maruti Suzukialto-800,15,0,800,0,0,6,25000,650000
Maruti Suzukiastar,11,0,1000,0,0,8,34000,1350000
Maruti Suzukiswift,7,0,1197,0,0,11,12000,2350000
Maruti Suzukiswift,16,0,1300,0,0,5,45000,950000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,6600,1150000
Maruti Suzukiastar,9,0,1000,0,0,10,25000,1400000
Maruti Suzukiastar,12,0,1000,0,0,9,48000,1275000
Maruti Suzukialto-LXI,8,0,1000,0,0,12,20000,1425000
Maruti Suzukiswift,12,0,1298,0,0,7,38000,1450000
Maruti Suzukiastar,12,0,1000,0,0,7,42000,1250000
Maruti Suzukialto-800,16,0,800,0,0,5,55000,675000
Maruti Suzukiswift,13,0,1300,0,0,8,40000,1500000
Maruti Suzukialto-800,12,0,800,0,0,7,31000,900000
Maruti Suzukialto-800,16,0,800,0,0,5,38000,650000
Maruti Suzukieeco,9,0,1297,0,0,9,32000,1350000
Maruti Suzukiswift,11,0,1200,0,0,9,25000,1650000
Maruti Suzukialto-800,16,0,800,0,0,6,36000,736000
Maruti Suzukiastar,11,0,1000,0,0,8,33000,1350000
Maruti Suzukieeco,11,0,1196,0,0,8,39000,1245000
Maruti SuzukiOmni,11,0,800,0,0,8,35000,650000
Maruti Suzukiswift,7,0,1200,0,0,11,4000,2350000
Maruti Suzukiastar,12,0,1000,0,0,7,35000,1175000
Maruti Suzukiswift,15,0,1300,0,0,1,50000,1800000
Maruti Suzukialto-LXI,10,0,1000,0,0,9,20000,1350000
Maruti Suzukieeco,11,0,1400,0,0,10,10000,1450000
Maruti Suzukialto-800,16,0,800,0,0,5,695000,725000
Maruti Suzukialto-LXI,7,0,1000,0,0,11,3400,1425000
Maruti Suzukialto-800,12,0,800,0,0,7,17000,910000
Maruti Suzukiswift,12,0,1298,0,0,13,34000,1425000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,7000,1450000
Maruti Suzukialto-LXI,9,0,1000,0,0,10,37000,1325000
Maruti Suzukialto-LXI,11,0,1000,0,0,7,16000,1200000
Maruti Suzukialto-800,10,0,800,0,0,9,26000,925000
Maruti Suzukicelerio,7,1,1000,0,0,12,5900,2150000
Maruti Suzukialto-800,21,0,800,0,0,6,73000,460000
Maruti Suzukiswift,13,0,1197,0,0,6,33000,1400000
Maruti Suzukialto-800,13,0,800,0,0,6,36000,850000
Maruti Suzukialto-800,20,0,800,0,0,3,68000,630000
Maruti Suzukieeco,10,0,1199,0,0,9,24000,1300000
Maruti Suzukialto,20,0,1000,0,0,4,46000,625000
Maruti Suzukialto-LXI,8,0,1000,0,0,11,27000,1400000
Maruti Suzukialto-800,19,0,800,0,0,4,50000,450000
Maruti Suzukiswift,11,0,1400,0,1,8,35000,1900000
Maruti Suzukiswift,9,0,1200,0,0,9,25000,2125000
Maruti Suzukialto-800,14,0,800,0,0,5,55000,785000
Maruti Suzukialto-800,12,0,800,0,0,9,30000,950000
Maruti Suzukialto-LXI,8,0,1000,0,0,10,25000,1075000
Maruti Suzukialto-800,16,0,800,0,0,5,50806,900000
Maruti Suzukia-star,12,0,1100,0,0,7,39000,1275000
Maruti Suzukiswift,12,0,1298,0,0,7,31000,1625000
Maruti Suzukialto-LXI,9,0,1000,0,0,11,17000,1375000
Maruti Suzukialto-800,14,0,800,0,0,6,45000,850000
Maruti Suzukiswift,12,0,1300,0,0,7,34000,1625000
Maruti Suzukialto-800,14,0,800,0,0,5,50000,825000
Maruti Suzukiswift,8,0,1299,0,0,1,25000,2500000
Maruti Suzukialto-800,13,0,800,0,0,6,28000,800000
Maruti Suzukialto-800,19,0,800,0,0,4,75000,660000
Maruti Suzukialto-LXI,8,0,1000,0,0,12,14000,1375000
Maruti Suzukiswift,12,0,1298,0,0,7,31000,1625000
Maruti Suzukialto-800,13,0,800,0,0,6,37500,715000
Maruti Suzukiswift,16,0,1200,0,0,5,43000,1100000
Maruti Suzukialto-800,5,0,800,0,0,4,52000,475000
Maruti Suzukialto-800,19,0,800,0,0,4,75000,625000
Maruti Suzukiswift,11,0,1200,0,0,8,40000,1900000
Maruti Suzukialto-800,13,0,800,0,0,8,40000,900000
Maruti Suzukialto-800,14,0,800,0,0,6,24000,800000
Maruti Suzukialto-800,14,0,800,0,0,6,24000,775000
Maruti Suzukialto-800,11,0,800,0,0,8,19000,950000
Maruti Suzukiswift,16,0,1300,0,0,5,41000,1125000
Maruti Suzukiswift,16,0,1197,0,0,12,45000,1050000
Maruti Suzukiswift,8,0,1200,0,0,11,13000,2850000
Maruti Suzukiswift,11,0,1200,0,0,8,15000,1950000
Maruti Suzukiswift,11,0,1200,0,0,8,35000,1850000
Maruti Suzukiswift,12,0,1300,0,0,7,40000,1500000
Maruti Suzukiswift,8,0,1200,0,0,11,30000,2450000
